MEMBER_NBR,TERM,OPEN_DATE,LOAN_AMOUNT,RATE,CREDIT_SCORE_AT_ORIG,6_MOS_SCORE_CHG,TARGET_DATE,TIME_OBSERVED,CO,STATUS
1788910,48,2023-12-19 00:00:00.000,6000,17.9,640,9,,13,0,OPEN
2008530,48,2024-09-13 00:00:00.000,5000,19.99,598,0,,4,0,OPEN
1709130,60,2021-03-25 00:00:00.000,38000,8.49,783,-102,9/30/2024,42,0,CLOSED
1722190,60,2021-03-19 00:00:00.000,24000,9.49,717,70,,46,0,OPEN
445470,24,2021-09-01 00:00:00.000,4743,10.4,735,38,2/28/2023,17,0,CLOSED
1218090,36,2022-08-30 00:00:00.000,5000,9.4,823,-63,2/28/2023,6,0,CLOSED
1225450,36,2022-08-18 00:00:00.000,13000,9.4,773,46,,29,0,OPEN
1935970,48,2024-07-23 00:00:00.000,4000,19.49,587,-16,,6,0,OPEN
1628860,36,2024-08-15 00:00:00.000,3500,19.99,480,0,,5,0,OPEN
1108830,48,2024-10-03 00:00:00.000,9600,11.99,741,0,,3,0,OPEN
1667650,60,2021-03-30 00:00:00.000,15335.1,11.49,656,61,5/31/2022,14,1,DEFAULT
1791470,48,2021-07-30 00:00:00.000,3500,9.4,741,11,5/31/2024,34,0,CLOSED
1288180,48,2021-09-10 00:00:00.000,6000,10.4,709,-12,7/31/2023,22,0,CLOSED
864140,48,2022-04-22 00:00:00.000,13382.6,10.4,701,2,,33,0,OPEN
1274660,48,2023-09-06 00:00:00.000,4000,17.9,625,-26,,16,0,OPEN
1764800,48,2023-12-13 00:00:00.000,4000,12.9,777,-20,,13,0,OPEN
1706700,60,2021-02-17 00:00:00.000,20000,9.49,707,-8,4/30/2024,38,1,DEFAULT
1566250,48,2021-06-11 00:00:00.000,17000,9.4,875,-58,,43,0,OPEN
1351570,48,2022-07-28 00:00:00.000,10000,12.4,663,23,,30,0,OPEN
1432460,48,2023-03-17 00:00:00.000,10000,13.9,707,-15,,22,0,OPEN
1453290,48,2021-07-22 00:00:00.000,8500,11.4,672,22,,42,0,OPEN
1610680,60,2023-09-27 00:00:00.000,17000,12.9,764,28,,16,0,OPEN
1168990,36,2021-07-22 00:00:00.000,4000,12.4,659,-39,6/30/2023,23,1,DEFAULT
1615580,60,2024-02-12 00:00:00.000,16000,13.49,688,56,,11,0,OPEN
1697100,24,2024-01-18 00:00:00.000,5000,11.49,847,-53,5/31/2024,4,0,CLOSED
2042940,60,2024-03-08 00:00:00.000,24218.21,13.49,688,76,,10,0,OPEN
1697100,24,2024-05-29 00:00:00.000,7500,11.99,830,-22,,8,0,OPEN
1706790,36,2021-03-22 00:00:00.000,3220.16,13.49,627,-16,11/30/2021,8,0,CLOSED
1852490,48,2022-02-15 00:00:00.000,10000,8.49,761,27,,35,0,OPEN
1906140,48,2022-09-08 00:00:00.000,8000,14.4,635,-5,10/31/2022,1,0,CLOSED
958290,48,2023-06-30 00:00:00.000,6000,17.4,658,-10,,19,0,OPEN
2022890,48,2023-11-08 00:00:00.000,7200,17.9,647,0,6/30/2024,7,0,CLOSED
2089460,48,2024-11-05 00:00:00.000,10000,11.99,799,0,,2,0,OPEN
778560,48,2024-12-20 00:00:00.000,4000,11.99,749,0,,1,0,OPEN
1551720,60,2021-08-16 00:00:00.000,20000,10.4,734,8,,41,0,OPEN
399710,36,2022-04-27 00:00:00.000,15000,9.4,757,48,,33,0,OPEN
1367910,48,2022-05-19 00:00:00.000,9500,11.4,684,-11,,32,1,DEFAULT
152750,60,2022-06-30 00:00:00.000,15000,9.4,807,8,8/31/2022,2,0,CLOSED
1556270,60,2024-03-14 00:00:00.000,19000,14.49,669,126,,10,0,OPEN
1719670,48,2024-06-25 00:00:00.000,4837.95,13.99,681,12,,7,0,OPEN
1765550,48,2021-08-10 00:00:00.000,4000,14.4,632,-14,12/31/2023,28,1,DEFAULT
1782980,60,2021-08-24 00:00:00.000,50000,10.4,720,-17,5/31/2023,21,0,CLOSED
1741420,60,2022-02-24 00:00:00.000,15000,8.49,744,47,10/31/2022,8,1,DEFAULT
1413340,48,2023-01-20 00:00:00.000,18000,14.9,676,5,,24,0,OPEN
937700,60,2021-08-05 00:00:00.000,33971.4,9.4,796,1,1/31/2023,17,0,CLOSED
815520,48,2024-05-22 00:00:00.000,6500,11.99,792,-201,,8,0,OPEN
2048590,48,2024-08-08 00:00:00.000,6000,12.99,733,0,,5,0,OPEN
1081450,60,2024-11-21 00:00:00.000,30000,11.99,797,0,,2,0,OPEN
2107820,24,2024-12-06 00:00:00.000,4000,12.99,736,0,,1,0,OPEN
348140,60,2021-08-30 00:00:00.000,15000,12.4,650,35,,41,0,OPEN
1499050,48,2022-02-02 00:00:00.000,8880.16,8.49,756,68,,35,0,OPEN
1465850,48,2022-04-05 00:00:00.000,5000,10.4,716,-12,9/30/2024,29,0,CLOSED
406960,60,2023-06-13 00:00:00.000,25000,17.4,668,60,,19,0,OPEN
1685380,60,2021-02-03 00:00:00.000,25000,9.49,702,43,,47,0,OPEN
999840,36,2021-05-28 00:00:00.000,5000,9.4,795,-67,5/31/2024,36,0,CLOSED
1870470,60,2022-04-27 00:00:00.000,16000,10.4,734,-5,6/30/2024,26,0,CLOSED
1568160,60,2023-02-17 00:00:00.000,15000,14.4,672,30,,23,0,OPEN
1619030,48,2022-10-31 00:00:00.000,5000,14.9,626,-24,,27,0,OPEN
1877680,24,2023-02-17 00:00:00.000,8900,13.9,700,16,11/30/2023,9,0,CLOSED
869710,60,2022-01-26 00:00:00.000,17000,8.49,792,23,,36,0,OPEN
1989680,36,2023-05-05 00:00:00.000,7500,15.4,728,-145,2/29/2024,9,0,CLOSED
1584960,60,2024-01-24 00:00:00.000,23000,13.49,681,23,,12,0,OPEN
1598590,60,2024-02-21 00:00:00.000,21083,11.49,836,-160,,11,0,OPEN
1803260,60,2024-02-06 00:00:00.000,20000,12.49,717,50,4/30/2024,2,0,CLOSED
1971940,60,2023-04-21 00:00:00.000,16800,15.4,723,-23,8/31/2023,4,0,CLOSED
402060,36,2023-07-21 00:00:00.000,5000,17.4,650,26,5/31/2024,10,0,CLOSED
1490010,60,2023-07-14 00:00:00.000,30000,15.4,715,-4,,18,0,OPEN
1088820,60,2023-11-27 00:00:00.000,30000,12.9,800,32,,14,0,OPEN
1409530,48,2022-06-07 00:00:00.000,4684.44,17.4,526,44,4/30/2024,22,0,CLOSED
807640,36,2022-08-05 00:00:00.000,5000,11.4,693,-1,2/28/2023,6,0,CLOSED
1120290,60,2022-08-06 00:00:00.000,15000,10.4,732,29,5/31/2024,21,0,CLOSED
389400,24,2022-12-14 00:00:00.000,7000,10.9,734,49,12/31/2024,24,0,CLOSED
2037510,36,2024-01-16 00:00:00.000,7000,13.49,695,80,3/31/2024,2,0,CLOSED
1052300,48,2021-02-23 00:00:00.000,10932,8.49,748,10,5/31/2023,27,0,CLOSED
1175280,60,2021-02-04 00:00:00.000,16500,9.49,720,-65,6/30/2024,40,0,CLOSED
924930,24,2021-12-21 00:00:00.000,3437.42,10.4,721,2,12/31/2023,24,0,CLOSED
1455340,60,2022-02-02 00:00:00.000,50000,8.49,781,11,,35,0,OPEN
1809730,48,2024-11-21 00:00:00.000,3800,19.99,563,0,,2,0,OPEN
1718850,48,2021-03-19 00:00:00.000,8700,9.49,723,-23,,46,0,OPEN
1342590,48,2022-03-17 00:00:00.000,6000,8.49,742,-8,,34,0,OPEN
1951340,48,2022-10-05 00:00:00.000,5269,14.9,641,12,1/31/2023,3,0,CLOSED
1839920,48,2023-12-12 00:00:00.000,3800,20.4,609,34,6/30/2024,6,0,CLOSED
2069380,48,2024-06-13 00:00:00.000,4000,14.99,662,0,,7,0,OPEN
1653510,48,2024-10-09 00:00:00.000,12000,12.99,706,0,,3,0,OPEN
1515380,48,2021-02-11 00:00:00.000,9116,10.49,670,7,2/29/2024,36,0,CLOSED
1633850,36,2023-05-08 00:00:00.000,5000,22.4,562,-24,2/29/2024,9,1,DEFAULT
681330,24,2023-08-07 00:00:00.000,3600,12.9,865,-44,,17,0,OPEN
2063030,60,2024-05-16 00:00:00.000,25000,12.99,739,-35,,8,0,OPEN
1665830,60,2022-02-28 00:00:00.000,30000,11.49,651,10,,35,0,OPEN
1054560,48,2022-10-31 00:00:00.000,8000,12.9,669,9,,27,0,OPEN
932960,60,2023-08-21 00:00:00.000,20000,14.9,693,-60,,17,0,OPEN
1596310,36,2024-10-02 00:00:00.000,9000,12.99,709,0,,3,0,OPEN
1484860,36,2022-11-25 00:00:00.000,6000,14.9,648,-43,6/30/2024,19,0,CLOSED
1940680,36,2023-04-04 00:00:00.000,5000,16.4,687,-119,9/30/2024,17,0,CLOSED
724300,24,2024-09-30 00:00:00.000,3500,12.99,705,0,,4,0,OPEN
801320,48,2025-01-28 00:00:00.000,10000,11.99,837,0,,0,0,OPEN
1125220,60,2021-04-08 00:00:00.000,25000,11.4,661,39,9/30/2022,17,0,CLOSED
1018190,60,2021-07-01 00:00:00.000,30000,10.4,713,37,,42,0,OPEN
363720,48,2021-09-30 00:00:00.000,5000,11.4,692,-2,11/30/2023,26,0,CLOSED
1673790,60,2022-08-11 00:00:00.000,25000,9.4,836,-3,,29,0,OPEN
303900,39,2021-07-13 00:00:00.000,12600,11.4,698,-12,7/31/2022,12,0,CLOSED
1727610,60,2023-05-11 00:00:00.000,30000,14.4,742,-149,6/30/2023,1,0,CLOSED
1725200,60,2023-10-12 00:00:00.000,20130.19,17.9,644,-2,,15,0,OPEN
1642290,48,2021-11-22 00:00:00.000,8500,9.4,781,-27,3/31/2024,28,1,DEFAULT
908700,60,2024-02-09 00:00:00.000,30000,12.49,734,91,,11,0,OPEN
1585190,48,2024-06-06 00:00:00.000,8000,12.99,721,10,,7,0,OPEN
2090340,48,2024-09-19 00:00:00.000,10000,12.99,725,0,,4,0,OPEN
940480,60,2021-02-11 00:00:00.000,23627.09,8.49,771,-23,,47,0,OPEN
1771570,60,2021-06-17 00:00:00.000,15000,9.4,811,-42,,43,0,OPEN
1136130,60,2022-12-14 00:00:00.000,30177.59,10.9,707,54,,25,0,OPEN
862090,36,2023-10-19 00:00:00.000,3001,17.9,0,0,4/30/2024,6,0,CLOSED
1563820,48,2022-07-27 00:00:00.000,11000,11.4,676,-25,8/31/2023,13,1,DEFAULT
1843450,60,2024-07-23 00:00:00.000,15000,12.99,733,-23,,6,0,OPEN
1150060,60,2021-07-19 00:00:00.000,15000,9.4,799,58,,42,0,OPEN
413760,48,2022-05-26 00:00:00.000,10000,9.4,808,6,,32,0,OPEN
13768,60,2021-04-01 00:00:00.000,19914.83,8.49,839,-7,1/31/2023,21,0,CLOSED
271480,48,2022-03-04 00:00:00.000,8000,8.49,755,23,,34,0,OPEN
1934010,48,2022-08-11 00:00:00.000,5300,9.4,795,-1,,29,0,OPEN
1155850,48,2024-03-20 00:00:00.000,10000,11.49,849,-7,12/31/2024,9,0,CLOSED
1540010,48,2021-02-26 00:00:00.000,8300,11.49,654,-1,4/30/2024,38,1,DEFAULT
113770,48,2022-03-24 00:00:00.000,10000,8.49,835,13,8/31/2022,5,0,CLOSED
994240,60,2022-05-12 00:00:00.000,27500,9.4,777,8,,32,0,OPEN
1089370,60,2024-06-13 00:00:00.000,24950,11.99,783,-64,,7,0,OPEN
2017560,24,2024-01-05 00:00:00.000,3001,12.49,726,29,,12,0,OPEN
1904740,60,2022-06-23 00:00:00.000,18000,10.4,702,-43,,31,0,OPEN
718680,48,2021-10-19 00:00:00.000,11000,14.4,632,25,,39,0,OPEN
1582370,60,2021-10-08 00:00:00.000,50000,10.4,720,33,6/30/2023,20,0,CLOSED
1235830,60,2022-03-30 00:00:00.000,22530.76,8.49,798,-41,3/31/2024,24,1,DEFAULT
1584040,60,2022-03-29 00:00:00.000,15000,8.49,768,2,8/31/2024,29,0,CLOSED
1702740,24,2021-02-04 00:00:00.000,11869.89,9.49,722,69,12/31/2022,22,0,CLOSED
917590,60,2022-06-29 00:00:00.000,16500,10.4,720,38,4/30/2023,10,0,CLOSED
944590,48,2023-09-21 00:00:00.000,6709.1,17.9,622,-17,,16,0,OPEN
2058890,60,2024-05-02 00:00:00.000,17000,12.99,724,-14,,8,0,OPEN
799470,60,2021-08-21 00:00:00.000,43000,9.4,823,1,1/31/2024,29,0,CLOSED
1624310,48,2022-05-18 00:00:00.000,10366.04,10.4,732,-9,,32,0,OPEN
1894640,48,2023-05-11 00:00:00.000,6000,16.4,677,-14,6/30/2023,1,0,CLOSED
2052330,36,2024-03-27 00:00:00.000,10000,12.49,727,-80,,10,0,OPEN
1956250,60,2022-08-10 00:00:00.000,15000,9.4,782,33,,29,0,OPEN
1788870,60,2023-10-12 00:00:00.000,20000,13.9,732,-61,,15,0,OPEN
1714160,48,2023-12-01 00:00:00.000,10000,12.9,780,68,,13,0,OPEN
1680590,60,2022-05-31 00:00:00.000,30000,9.4,770,0,,32,0,OPEN
1469480,48,2022-09-16 00:00:00.000,5000,9.4,829,-7,8/31/2024,23,0,CLOSED
1844580,60,2022-09-12 00:00:00.000,30000,11.4,670,85,,28,0,OPEN
1838110,48,2021-12-21 00:00:00.000,4652.19,17.4,610,63,2/28/2023,14,0,CLOSED
1851560,48,2022-03-04 00:00:00.000,7064.88,8.49,753,-10,,34,0,OPEN
1493100,42,2022-04-20 00:00:00.000,7500,11.4,697,-5,,33,0,OPEN
379940,48,2022-08-05 00:00:00.000,6000,11.4,686,-29,,29,0,OPEN
